id,camera_id
1,61
2,61
3,61
4,83
5,83
6,60
7,60
8,60
9,62
10,62
11,62
12,75
13,75
14,66
15,78
16,78
17,63
18,63
19,63
20,1
21,1
22,1
23,2
24,2
25,2
26,3
27,3
28,3
29,4
30,4
31,4
32,5
33,5
34,5
35,6
36,6
37,6
38,7
39,7
40,7
41,8
42,8
43,8
44,9
45,9
46,9
47,10
48,10
49,10
50,11
51,11
52,11
53,43
54,43
55,45
56,45
57,45
58,46
59,44
60,44
61,44
62,54
63,54
64,54
65,40
66,40
67,40
68,50
69,50
70,50
71,39
72,39
73,39
74,64
75,64
76,64
77,74
78,74
79,74
80,65
81,65
82,65
83,73
84,73
85,73
86,79
87,79
88,79
89,82
90,82
91,85
92,85
93,19
94,19
95,18
96,18
97,17
98,17
99,16
100,16
101,15
102,15
103,15
104,14
105,14
106,14
107,13
108,13
109,13
110,12
111,12
112,12
113,48
114,48
115,48
116,47
117,47
118,47
119,38
120,38
121,38
122,49
123,49
124,49
125,53
126,53
127,53
128,41
129,41
130,41
131,NULL
132,NULL
133,NULL
134,125
135,125
136,125
137,42
138,42
139,42
140,51
141,51
142,51
143,86
144,86
145,86
146,81
147,81
148,81
149,84
150,84
151,84
152,442
153,442
154,442
155,26
156,26
157,26
158,27
159,27
160,27
161,28
162,28
163,28
164,29
165,29
166,29
167,30
168,30
169,30
170,31
171,31
172,31
173,32
174,32
175,32
176,33
177,33
178,33
179,34
180,34
181,34
182,35
183,35
184,35
185,57
186,57
187,57
188,52
189,52
190,52
191,58
192,58
193,58
194,76
195,76
196,76
197,37
198,37
199,36
200,36
201,55
202,55
203,56
204,56
205,59
206,59
207,126
208,126
209,68
210,68
211,68
212,80
213,80
214,80
215,70
216,70
217,70
218,77
219,77
220,77
221,67
222,67
223,67
224,71
225,71
226,71
227,72
228,72
229,104
230,104
231,104
232,111
233,111
234,111
235,124
236,124
237,124
238,120
239,120
240,120
241,112
242,112
243,112
244,93
245,93
246,93
247,110
248,110
249,91
250,91
251,89
252,89
253,99
254,99
255,NULL
256,NULL
257,NULL
258,107
259,107
260,107
261,100
262,100
263,100
264,121
265,121
266,121
267,103
268,103
269,103
270,113
271,113
272,113
273,114
274,114
275,114
276,108
277,108
278,108
279,123
280,123
281,25
282,25
283,25
284,24
285,24
286,24
287,98
288,98
289,98
290,119
291,119
292,119
293,105
294,105
295,105
296,109
297,109
298,109
299,NULL
300,NULL
301,NULL
302,106
303,106
304,106
305,95
306,95
307,95
308,96
309,96
310,96
311,97
312,97
313,97
314,116
315,116
316,118
317,118
318,118
319,94
320,94
321,94
322,122
323,122
324,122
325,115
326,115
327,88
328,88
329,88
330,90
331,90
332,90
333,443
334,443
335,443
336,101
337,102
338,NULL
339,87
340,69
341,69
342,69
343,20
344,20
345,20
346,21
347,21
348,21
349,22
350,22
351,22
352,23
353,23
354,23
355,92
356,92
357,92
358,117
359,117
360,441
361,441
362,441
363,127
364,127
365,127
366,250
367,250
368,250
369,246
370,246
371,246
372,252
373,252
374,252
375,233
376,233
377,233
378,238
379,238
380,238
381,253
382,253
383,253
384,242
385,242
386,242
387,243
388,243
389,243
390,239
391,239
392,239
393,245
394,245
395,245
396,240
397,240
398,234
399,234
400,234
401,244
402,244
403,244
404,236
405,236
406,236
407,241
408,241
409,NULL
410,247
411,248
412,248
413,248
414,249
415,249
416,249
417,251
418,251
419,257
420,257
421,257
422,258
423,258
424,258
425,259
426,259
427,259
428,260
429,260
430,260
431,261
432,261
433,261
434,263
435,263
436,264
437,264
438,264
439,265
440,265
441,265
442,266
443,266
444,266
445,267
446,267
447,267
448,268
449,268
450,268
451,269
452,269
453,269
454,270
455,270
456,270
457,271
458,271
459,271
460,272
461,272
462,272
463,273
464,275
465,275
466,275
467,276
468,276
469,276
470,277
471,277
472,277
473,278
474,278
475,278
476,279
477,279
478,279
479,280
480,280
481,280
482,281
483,281
484,281
485,282
486,282
487,282
488,284
489,284
490,284
491,285
492,285
493,285
494,286
495,286
496,286
497,287
498,287
499,287
500,288
501,288
502,288
503,289
504,289
505,289
506,290
507,290
508,290
509,291
510,291
511,291
512,292
513,292
514,292
515,293
516,293
517,293
518,294
519,294
520,295
521,295
522,296
523,296
524,296
525,297
526,297
527,297
528,298
529,298
530,298
531,299
532,299
533,299
534,300
535,300
536,300
537,308
538,308
539,308
540,309
541,309
542,309
543,310
544,310
545,310
546,311
547,311
548,311
549,312
550,312
551,312
552,314
553,314
554,314
555,315
556,315
557,315
558,317
559,317
560,317
561,319
562,319
563,319
564,320
565,320
566,320
567,321
568,321
569,321
570,322
571,322
572,322
573,323
574,323
575,323
576,325
577,325
578,326
